section,dataset,centrality,elbow_k,elbow_score,alpha,xmin,r_vs_exp,p_value,verdict,k,seed,val_auc,test_auc,mean_val_auc,std_val_auc,mean_test_auc,std_test_auc,optimal_k,auc_at_elbow,auc_at_optimal,auc_gap,match
ksweep_run,Citeseer,eigenvector,,,,,,,,15,1,0.8095,0.7965,,,,,,,,,
ksweep_run,Citeseer,eigenvector,,,,,,,,15,2,0.7773,0.7835,,,,,,,,,
ksweep_run,Citeseer,eigenvector,,,,,,,,20,0,0.7709,0.7796,,,,,,,,,
ksweep_run,Citeseer,eigenvector,,,,,,,,20,1,0.8173,0.7942,,,,,,,,,
ksweep_run,Citeseer,eigenvector,,,,,,,,20,2,0.7813,0.7851,,,,,,,,,
ksweep_run,Citeseer,eigenvector,,,,,,,,25,0,0.7805,0.794,,,,,,,,,
ksweep_run,Citeseer,eigenvector,,,,,,,,25,1,0.8164,0.8076,,,,,,,,,
ksweep_run,Citeseer,eigenvector,,,,,,,,25,2,0.7763,0.7896,,,,,,,,,
ksweep_run,Citeseer,eigenvector,,,,,,,,30,0,0.7842,0.7865,,,,,,,,,
ksweep_run,Citeseer,eigenvector,,,,,,,,30,1,0.82,0.8101,,,,,,,,,
